HOOD_ID,join,Assault_2014,Auto Theft_2014,Bike Theft_2014,Break and Enter_2014,Homicide_2014,Robbery_2014,Shooting (Non-Fatal)_2014,Theft From Motor Vehicle_2014,Theft Over_2014,Assault_2015,Auto Theft_2015,Bike Theft_2015,Break and Enter_2015,Homicide_2015,Robbery_2015,Shooting (Non-Fatal)_2015,Theft From Motor Vehicle_2015,Theft Over_2015,Assault_2016,Auto Theft_2016,Bike Theft_2016,Break and Enter_2016,Homicide_2016,Robbery_2016,Shooting (Non-Fatal)_2016,Theft From Motor Vehicle_2016,Theft Over_2016,Assault_2017,Auto Theft_2017,Bike Theft_2017,Break and Enter_2017,Homicide_2017,Robbery_2017,Shooting (Non-Fatal)_2017,Theft From Motor Vehicle_2017,Theft Over_2017,Assault_2018,Auto Theft_2018,Bike Theft_2018,Break and Enter_2018,Homicide_2018,Robbery_2018,Shooting (Non-Fatal)_2018,Theft From Motor Vehicle_2018,Theft Over_2018,Assault_2019,Auto Theft_2019,Bike Theft_2019,Break and Enter_2019,Homicide_2019,Robbery_2019,Shooting (Non-Fatal)_2019,Theft From Motor Vehicle_2019,Theft Over_2019,Assault_2020,Auto Theft_2020,Bike Theft_2020,Break and Enter_2020,Homicide_2020,Robbery_2020,Shooting (Non-Fatal)_2020,Theft From Motor Vehicle_2020,Theft Over_2020,Assault_2021,Auto Theft_2021,Bike Theft_2021,Break and Enter_2021,Homicide_2021,Robbery_2021,Shooting (Non-Fatal)_2021,Theft From Motor Vehicle_2021,Theft Over_2021,Assault_2022,Auto Theft_2022,Bike Theft_2022,Break and Enter_2022,Homicide_2022,Robbery_2022,Shooting (Non-Fatal)_2022,Theft From Motor Vehicle_2022,Theft Over_2022,Assault_2023,Auto Theft_2023,Bike Theft_2023,Break and Enter_2023,Homicide_2023,Robbery_2023,Shooting (Non-Fatal)_2023,Theft From Motor Vehicle_2023,Theft Over_2023,Assault_2024,Auto Theft_2024,Bike Theft_2024,Break and Enter_2024,Homicide_2024,Robbery_2024,Shooting (Non-Fatal)_2024,Theft From Motor Vehicle_2024,Theft Over_2024
13,13,53,14,12,31,1,18,1,27,0,63,16,2,26,0,5,2,25,3,58,15,2,16,1,4,1,21,1,62,11,2,8,0,5,1,17,4,52,9,2,15,0,8,4,24,5,54,15,3,8,2,10,3,21,5,65,12,2,14,1,10,5,30,8,50,21,4,14,0,3,0,22,4,58,33,4,22,0,5,1,52,6,75,66,2,13,0,1,2,47,6,18,11,0,4,1,2,0,5,1
130,130,67,35,2,94,0,30,0,58,16,88,42,1,106,0,26,1,54,12,85,32,0,56,0,27,0,30,11,93,63,6,90,0,21,0,67,19,77,87,1,99,0,16,2,71,19,90,80,2,113,1,27,0,65,18,85,71,1,52,0,25,1,78,10,63,78,8,75,1,14,6,62,2,65,99,1,50,1,37,4,70,11,86,245,4,71,0,27,4,71,22,26,50,2,23,0,20,4,20,5
133,133,54,9,1,15,0,9,0,36,3,37,7,2,17,1,4,0,15,0,51,6,5,23,0,10,2,47,2,49,8,4,29,1,12,0,44,3,47,10,4,16,1,6,1,33,3,53,26,3,27,0,5,1,29,2,52,10,3,10,0,3,1,41,0,35,21,0,6,0,6,0,39,2,37,27,0,16,0,0,0,52,5,36,50,0,18,0,7,0,29,2,13,10,0,1,0,0,0,9,2
134,134,84,26,14,30,0,21,1,31,3,80,11,11,36,0,34,1,32,5,90,8,18,31,0,15,1,33,1,98,17,2,25,0,20,1,56,1,69,17,0,30,0,5,2,23,3,91,19,3,41,1,19,1,50,1,64,14,0,18,0,3,3,46,3,69,36,0,11,1,3,2,25,3,74,47,3,19,0,6,2,47,0,74,57,3,17,0,3,3,22,4,22,17,0,10,0,6,2,8,1
135,135,88,19,5,28,0,14,1,18,0,113,16,3,20,1,19,0,30,2,138,13,1,18,0,7,0,14,0,130,9,0,14,0,16,1,34,2,122,16,1,18,1,12,0,30,2,142,13,1,15,1,9,2,26,4,81,28,0,15,1,8,5,22,2,58,27,0,11,0,4,2,20,1,91,49,1,11,1,13,4,92,3,117,53,3,7,0,2,4,44,0,29,13,0,1,0,1,3,9,0
136,136,353,23,16,88,0,62,0,57,5,401,17,16,68,2,64,1,67,7,424,15,26,73,0,77,6,62,7,413,31,13,86,0,65,3,110,10,412,26,7,104,1,51,4,75,5,447,46,11,75,2,72,6,58,5,329,57,11,58,2,36,7,125,8,318,75,18,71,0,44,5,137,4,377,60,17,43,1,62,6,146,14,429,81,15,56,2,57,9,135,18,69,23,0,10,0,12,2,16,3
138,138,214,23,1,46,0,77,4,27,10,218,23,3,83,0,55,2,49,4,233,25,2,72,0,48,4,41,7,249,34,5,74,1,45,13,59,2,205,25,1,54,1,42,3,66,6,224,30,6,62,2,38,5,60,8,169,40,7,28,2,26,10,89,6,171,44,2,37,4,23,7,52,2,186,52,9,41,1,38,6,102,8,204,56,16,53,1,42,7,107,14,38,19,0,7,0,9,1,22,2
139,139,158,18,3,47,1,32,0,51,3,136,15,2,46,0,29,2,25,3,193,10,3,30,6,26,2,35,2,142,22,7,32,1,21,4,40,5,170,15,0,44,0,11,3,49,4,163,20,2,41,0,27,6,52,1,169,22,9,28,1,17,2,76,6,109,27,5,21,0,13,3,58,6,133,23,10,17,0,9,1,50,7,142,42,5,35,0,23,1,63,5,27,16,0,8,0,12,1,13,2
140,140,55,5,3,15,0,16,0,27,1,47,0,2,22,0,11,0,59,2,43,5,6,18,0,7,0,32,1,50,4,2,11,0,10,0,42,4,54,5,1,16,0,5,1,31,1,39,5,2,12,1,7,0,30,2,44,10,4,2,0,3,1,42,1,36,12,0,9,2,5,0,34,0,49,11,2,8,0,6,1,48,2,60,30,3,10,0,1,1,32,4,8,5,0,3,1,1,0,10,0
141,141,235,23,11,67,2,50,1,41,4,259,23,6,70,3,61,3,57,5,226,11,15,49,1,44,1,45,6,267,25,11,53,0,83,4,48,10,232,37,5,40,0,50,10,75,4,260,23,4,47,0,51,11,76,4,201,43,3,47,1,35,12,77,5,217,55,2,29,2,24,13,63,5,230,88,3,33,2,20,6,123,7,220,89,6,38,1,35,3,82,9,39,25,0,8,0,11,0,15,3
